Date,Price,Open,High,Low,Vol.,Change %
2021-01-06,9335,9693,9693.9,9310,993.61K,-3.70%
2021-01-05,9693.9,9803,9898,9620,439.25K,-0.88%
2021-01-04,9780,9800,9970,9550,454.15K,2.46%
2020-12-31,9545,9545,9545,9545,-,0.00%
2020-12-30,9545,9501.1,9590,9501,171.54K,0.47%
2020-12-29,9500,9740,9890,9415.4,343.85K,-1.97%
2020-12-28,9691,9383,9800,9383,533.74K,4.32%
2020-12-24,9290,9300,9300,9190,172.89K,0.11%
2020-12-23,9280,9255,9300,9149.9,646.32K,0.21%
2020-12-22,9260.7,9339,9340.2,9150,625.75K,-1.95%
2020-12-21,9445,8950,9480,8810,830.79K,5.18%
2020-12-18,8980,8950,9050,8852,388.30K,1.46%
2020-12-17,8851,8801,8890.1,8770,377.65K,0.18%
2020-12-16,8835,8825,8980.1,8800,418.70K,1.11%
2020-12-15,8738,9000,9170,8600,768.08K,-2.38%
2020-12-14,8951,8510,8951,8510,576.63K,5.31%
2020-12-11,8500,8400,8579.9,8400,551.52K,1.67%
2020-12-10,8360,8370,8550,8360,990.08K,1.99%
2020-12-09,8196.8,7800.1,8196.8,7800.1,768.71K,6.50%
2020-12-07,7696.8,7605,7770,7420,396.48K,1.28%
2020-12-04,7599.9,7582,7700,7549.9,688.73K,2.45%
2020-12-03,7418,7410,7475,7360,234.13K,0.79%
2020-12-02,7360,7400,7495,7360,378.75K,0.11%
2020-12-01,7352,7300,7387,7260,319.05K,1.41%
2020-11-30,7250,7150,7297,7150,366.96K,1.04%
2020-11-27,7175.5,7200,7250,7100,160.00K,-0.06%
2020-11-26,7180,7100,7200,7100,160.35K,1.14%
2020-11-25,7099,7140,7165,6990,195.34K,-0.57%
2020-11-24,7140,7009,7164.9,7009,312.72K,1.85%
2020-11-23,7010,7000,7100,6849.9,317.93K,0.44%
2020-11-20,6979,7100.1,7157,6930,284.78K,-1.70%
2020-11-19,7100,7100,7190,7100,490.52K,0.28%
2020-11-18,7080,6930,7090,6930,441.21K,2.31%
2020-11-17,6920,6870,6980,6829.9,199.74K,0.73%
2020-11-16,6870,7000,7000,6870,515.04K,0.73%
2020-11-13,6820,6880,6900,6809.9,377.15K,-0.51%
2020-11-12,6855,6940,6940,6830.1,390.78K,-1.22%
2020-11-11,6940,6899,6999,6870.2,480.74K,1.02%
2020-11-10,6870,6950,6950,6800.1,374.96K,0.81%
2020-11-09,6815,7160.1,7349,6815,755.25K,-2.18%
2020-11-06,6966.6,6650.1,6966.6,6555,477.59K,4.76%
2020-11-05,6650.1,6550,6690,6370,200.39K,3.26%
2020-11-04,6440,6475,6539.9,6410,57.38K,-0.40%
2020-11-03,6465.6,6470,6495,6310,166.78K,0.59%
2020-11-02,6427.9,6410,6540,6390,188.16K,0.75%
2020-10-30,6380,6400,6410,6266,154.83K,0.00%
2020-10-29,6380,6433,6440,6352,83.20K,-0.82%
2020-10-28,6433,6500,6540,6362,128.38K,-1.00%
