Date,Price,Open,High,Low,Vol.,Change %
2020-11-30,110.6,115.59,118.3,110.6,291.87M ,-4.08%
2020-11-27,115.3,117,118,115.3,68.40M ,-1.45%
2020-11-26,117,119.5,119.53,116.75,15.59M ,-1.68%
2020-11-25,119,121.5,122,119,54.67M ,-1.52%
2020-11-24,120.84,118,122.63,115.25,93.40M ,3.04%
2020-11-23,117.27,114.1,118,114.1,48.54M ,2.25%
2020-11-20,114.69,114.61,115,114,21.00M ,0.55%
2020-11-19,114.06,116.86,116.86,114.06,37.42M ,-2.92%
2020-11-18,117.49,113.5,117.79,113.5,75.55M ,2.61%
2020-11-17,114.5,114.5,115.5,112,111.99M ,0.07%
2020-11-16,114.42,115.9,117,114.42,94.17M ,-0.85%
2020-11-13,115.4,111.63,115.4,111.63,70.13M ,3.95%
2020-11-12,111.01,116.79,116.79,111.01,80.03M ,-4.31%
2020-11-11,116.01,114,116.8,113.76,73.92M ,1.76%
2020-11-10,114,111.9,114,108.5,130.80M ,3.75%
2020-11-09,109.88,111.1,113.01,108.13,86.49M ,0.81%
2020-11-06,109,107.93,110.5,106.32,70.22M ,0.93%
2020-11-05,108,103.3,108,102.89,65.64M ,4.55%
2020-11-04,103.3,101,104.3,100.1,72.47M ,2.28%
2020-11-03,101,102.03,102.96,100,61.48M ,-0.98%
2020-11-02,102,102.7,103.59,101.07,29.37M ,-0.58%
2020-10-30,102.6,101.65,103,101.21,55.13M ,1.58%
2020-10-29,101,102.5,102.5,100,50.05M ,-1.46%
2020-10-28,102.5,104,104,101.1,54.15M ,-2.38%
2020-10-27,105,105.2,109,104,35.07M ,-0.75%
2020-10-26,105.79,107.3,109,105.31,36.11M ,-2.54%
2020-10-23,108.55,111.05,111.9,108.55,40.67M ,-2.25%
2020-10-22,111.05,112,112.14,110.6,265.00M ,-1.16%
2020-10-21,112.35,108.79,112.35,108.51,85.24M ,3.33%
2020-10-20,108.73,107,109.61,106.5,112.63M ,1.31%
2020-10-19,107.32,106.57,108.3,105.11,130.48M ,0.70%
2020-10-16,106.57,103.2,106.65,102.36,78.68M ,2.52%
2020-10-15,103.95,104,104.7,103.25,81.43M ,-0.72%
2020-10-14,104.7,103,105.01,102.5,172.19M ,2.15%
2020-10-13,102.5,102,102.5,101.02,98.38M ,-0.48%
2020-10-09,102.99,103,103.55,101.7,127.17M ,0.21%
2020-10-08,102.77,102,102.77,101.04,104.47M ,1.41%
2020-10-07,101.34,102.5,102.5,100.51,43.87M ,-1.13%
2020-10-06,102.5,102.85,103.01,100.66,92.24M ,-0.34%
2020-10-05,102.85,103.22,103.69,101.71,79.50M ,-0.15%
2020-10-02,103,101.98,103,101.35,46.66M ,0.30%
2020-10-01,102.69,102.02,104,101.1,59.86M ,0.68%
