Date,Price,Open,High,Low,Vol.,Change %
2020-10-29,1600,1650,1650,1600,1.26M,-3.04%
2020-10-28,1650.2,1650,1650.2,1617.1,1.49M,-0.57%
2020-10-27,1659.6,1675,1698,1650,1.21M,0.45%
2020-10-26,1652.1,1728.9,1728.9,1652.1,1.21M,-5.04%
2020-10-23,1739.8,1760,1784.2,1725,1.18M,-1.39%
2020-10-22,1764.3,1779,1796.6,1741,2.17M,-0.88%
2020-10-21,1780,1718,1780,1718,1.88M,3.49%
2020-10-20,1720,1665,1730,1660,1.44M,3.04%
2020-10-19,1669.2,1666,1690,1636,2.39M,0.13%
2020-10-16,1667.1,1648.4,1700,1631,1.58M,1.04%
2020-10-15,1650,1654.8,1654.8,1621,4.66M,-0.78%
2020-10-14,1663,1650,1663,1601,3.03M,1.71%
2020-10-13,1635,1657,1669,1620,282.49K,-0.91%
2020-10-09,1650,1624,1665,1607.2,1.20M,1.60%
2020-10-08,1624,1597.9,1629.1,1577.2,1.59M,1.60%
2020-10-07,1598.5,1611,1611,1583.4,1.85M,0.22%
2020-10-06,1595,1620,1620,1580,1.22M,-1.23%
2020-10-05,1614.8,1650,1660,1600,1.46M,-2.01%
2020-10-02,1648,1610,1660,1610,1.60M,0.68%
2020-10-01,1636.8,1650,1675,1611,2.20M,-0.80%
2020-09-30,1650,1620,1650,1610,3.94M,3.13%
2020-09-29,1600,1620,1629.9,1542,1.42M,-1.23%
2020-09-28,1620,1625,1640,1605,2.49M,-0.31%
2020-09-25,1625,1580,1625,1561.1,847.24K,3.50%
2020-09-24,1570,1552,1590,1552,1.79M,1.95%
2020-09-23,1540,1620,1639.8,1540,6.84M,-4.94%
2020-09-22,1620,1593,1640,1593,1.38M,1.89%
2020-09-21,1590,1590,1617,1555,652.65K,0.00%
2020-09-17,1590,1570.1,1590,1570.1,1.99M,0.32%
2020-09-16,1585,1592,1601,1570,264.49K,-0.31%
2020-09-15,1589.9,1561.1,1594,1560,1.12M,2.24%
2020-09-14,1555.1,1600,1619.9,1555.1,1.42M,-1.51%
2020-09-11,1579,1551.1,1580,1541,1.19M,1.87%
2020-09-10,1550,1592.2,1605,1550,1.79M,-2.58%
2020-09-09,1591.1,1639,1639,1585.1,1.84M,-2.92%
2020-09-08,1639,1632,1639,1609.9,365.77K,0.13%
2020-09-07,1636.9,1621,1645,1614.4,646.51K,1.36%
2020-09-04,1615,1650,1655,1615,1.64M,-2.12%
2020-09-03,1650,1649.5,1650,1605,708.69K,1.54%
2020-09-02,1625,1615,1650,1594.6,2.73M,1.37%
2020-09-01,1603,1616,1649,1581,1.69M,-0.74%
