Date,Price,Open,High,Low,Vol.,Change %
2020-12-23,27111,27800,27995,27111,48.10K,-2.13%
2020-12-22,27700,27299,27780,27299,124.12K,1.50%
2020-12-21,27290,28329,28329,27015,48.43K,-2.78%
2020-12-18,28070,27980,28995,26950,167.93K,0.32%
2020-12-17,27980,27650,28191,27161,45.76K,1.93%
2020-12-16,27450,26500,27699,26500,167.28K,3.52%
2020-12-15,26516,26630,26936,26222,55.15K,-0.32%
2020-12-14,26600,26850,27100,26301,73.82K,-0.51%
2020-12-11,26736,27876,27876,26700,95.58K,-3.13%
2020-12-10,27600,27650,28099,27411,89.03K,-0.18%
2020-12-09,27650,27070,27900,27070,47.36K,2.22%
2020-12-07,27050,27521,28000,26700,142.09K,-1.71%
2020-12-04,27520,27850,28099,27520,51.67K,-1.71%
2020-12-03,28000,27600,28198,27600,126.82K,0.79%
2020-12-02,27780,27295,27780,26800,100.22K,2.99%
2020-12-01,26974,26671,27597,26671,73.36K,1.41%
2020-11-30,26600,27650,27650,26600,225.65K,-1.48%
2020-11-27,27000,27448,27700,27000,76.70K,-1.78%
2020-11-26,27490,27650,27750,27000,19.04K,0.00%
2020-11-25,27490,27800,27838,26856,48.14K,-1.12%
2020-11-24,27801,27610,27810,27460,140.40K,1.09%
2020-11-23,27500,27000,27599,26990,145.06K,1.60%
2020-11-20,27066,26956,27066,26500,21.65K,0.41%
2020-11-19,26956,27000,27041,26500,36.33K,-0.31%
2020-11-18,27041,26800,27200,26502,37.42K,0.58%
2020-11-17,26886,26500,26886,25800,78.14K,1.46%
2020-11-16,26500,27100,27711,26500,118.93K,-1.78%
2020-11-13,26980,26100,27100,26100,57.45K,1.43%
2020-11-12,26600,26001,26950,26001,105.65K,-2.72%
2020-11-11,27345,27300,27470,27102,92.94K,0.16%
2020-11-10,27300,27400,27400,26700,120.35K,-0.36%
2020-11-09,27400,27000,27990,27000,148.05K,2.04%
2020-11-06,26851,26100,26940,26010,115.96K,3.23%
2020-11-05,26010,24800,26010,24502,108.79K,4.93%
2020-11-04,24789,25000,25699,24402,62.52K,-0.84%
2020-11-03,25000,25400,25500,24109,100.89K,-0.04%
2020-11-02,25011,24300,25992,24300,75.05K,3.35%
2020-10-30,24201,24800,24800,24000,78.46K,-2.42%
2020-10-29,24800,24700,24947,24500,46.22K,-0.90%
2020-10-28,25025,24900,25400,24500,75.17K,-1.44%
2020-10-27,25390,25700,26500,25006,86.69K,-0.82%
2020-10-26,25600,26896,26896,25001,57.43K,-5.01%
2020-10-23,26949,26799,27000,26500,75.45K,-0.19%
2020-10-22,27000,25890,27000,25800,232.19K,4.25%
2020-10-21,25900,24888,25900,24800,77.96K,4.86%
2020-10-20,24700,24401,24800,24292,107.73K,1.23%
