Date,Price,Open,High,Low,Vol.,Change %
2020-11-26,6165,6301,6369.9,6115,517.23K,-2.28%
2020-11-25,6309,6599,6599,6309,994.19K,-4.41%
2020-11-24,6600,6610.1,6630,6503.5,973.68K,-0.15%
2020-11-23,6610,6601,6650.1,6480,1.43M,0.15%
2020-11-20,6600,6499,6600,6410,857.13K,2.33%
2020-11-19,6450,6434,6509,6310,570.32K,-0.75%
2020-11-18,6499,6400.1,6500,6315,809.61K,1.87%
2020-11-17,6380,6381,6496,6200.1,821.84K,-0.79%
2020-11-16,6430.9,6300,6600,6300,1.71M,2.26%
2020-11-13,6289,6184,6289,6100.2,743.69K,2.26%
2020-11-12,6150,6400,6402,6150,558.81K,-5.08%
2020-11-11,6479,6365,6494.5,6150,705.29K,1.87%
2020-11-10,6360,6497,6498,6336.4,861.38K,-2.14%
2020-11-09,6498.9,6333,6498.9,6310.3,889.55K,3.90%
2020-11-06,6255,6171,6255,6109,776.77K,1.38%
2020-11-05,6170,6019,6170,5942,793.45K,2.32%
2020-11-04,6030,5933,6030,5801,515.90K,1.61%
2020-11-03,5934.2,6045,6050,5810.3,650.68K,-1.10%
2020-11-02,6000,5951,6099.9,5951,385.95K,1.69%
2020-10-30,5900,6120,6120.1,5900,429.51K,-3.59%
2020-10-29,6120,6200,6223.5,6100,353.45K,-1.69%
2020-10-28,6225,6244.9,6260,6000,550.05K,-0.40%
2020-10-27,6250,6250,6329,6100,534.81K,0.43%
2020-10-26,6223,6500,6600,6210,403.76K,-5.64%
2020-10-23,6595,6490,6600,6426,485.32K,1.07%
2020-10-22,6525,6400,6525,6325,1.01M,1.61%
2020-10-21,6421.7,6201,6421.7,6199.9,552.10K,3.56%
2020-10-20,6201,6031.2,6250,6030,521.32K,2.84%
2020-10-19,6030,6080,6189.8,6004.9,493.07K,2.00%
2020-10-16,5912,6130,6249,5912,664.68K,-3.05%
2020-10-15,6098.3,6060,6195,6025,1.13M,-0.84%
2020-10-14,6150,6010,6150,6010,556.54K,0.49%
2020-10-13,6120,6109,6200,6049.9,486.72K,0.16%
2020-10-09,6110,5999,6146,5907.3,503.22K,1.84%
2020-10-08,5999.9,5800,5999.9,5770.1,549.27K,3.45%
2020-10-07,5800,5799,5800,5735.1,575.02K,0.17%
2020-10-06,5790,5899.9,5899.9,5725,311.25K,-1.86%
2020-10-05,5899.9,5939.9,5943,5809.9,659.74K,-0.68%
2020-10-02,5940,5950,5980,5900,615.58K,-1.00%
2020-10-01,6000.1,5850,6000.1,5790,660.12K,1.90%
2020-09-30,5888,5600,5888,5543.9,636.03K,6.47%
2020-09-29,5530,5645.3,5670,5400,627.81K,-2.04%
2020-09-28,5645,5670,5785,5620.1,346.64K,0.70%
2020-09-25,5605.7,5555.1,5650,5500,269.30K,0.91%
2020-09-24,5555,5500,5587,5312.3,495.22K,1.49%
2020-09-23,5473.3,5560,5588.8,5325,417.20K,-1.56%
2020-09-22,5560,5639.8,5700,5515,366.05K,0.27%
2020-09-21,5545,5600,5645,5445,259.77K,-0.09%
2020-09-17,5550,5540,5579,5515,830.78K,-0.72%
2020-09-16,5590,5550,5590,5525,283.61K,1.64%
2020-09-15,5500,5500,5561.5,5500,346.85K,0.73%
2020-09-14,5460,5600,5600,5459.8,523.95K,-2.21%
2020-09-11,5583.4,5595,5600,5422,386.53K,0.06%
2020-09-10,5580,5751,5751.1,5521,611.30K,-2.97%
2020-09-09,5751,5730,5779,5711,409.40K,0.72%
2020-09-08,5710,5738,5777.7,5690,215.18K,-0.85%
2020-09-07,5759,5721.1,5790,5721,209.30K,0.68%
2020-09-04,5720.1,5801,5801,5701,380.82K,-1.38%
2020-09-03,5800,5950,5950,5700,292.44K,0.00%
2020-09-02,5800,5780,5894.9,5724,679.03K,1.75%
2020-09-01,5700,5801,5895,5700,984.37K,-0.02%
2020-08-31,5701,6100,6100,5701,1.76M,-6.08%
2020-08-28,6070.1,6149.9,6150,6010.4,767.71K,0.20%
2020-08-27,6058,5740,6058,5650,1.26M,5.40%
2020-08-26,5747.9,5870,5875,5747.9,677.86K,-1.90%
2020-08-25,5859,5980,5980,5839,518.73K,-2.10%
2020-08-24,5984.6,6105,6149.9,5925,605.26K,-1.89%
2020-08-21,6100,6115,6163.9,6062,545.54K,-0.20%
2020-08-20,6112.1,6219.9,6219.9,6105,257.55K,-1.73%
2020-08-19,6220,6230,6230,6111.1,160.25K,-0.16%
2020-08-18,6230,6200,6230,6116,809.88K,0.65%
2020-08-17,6190,6140,6190,6139,352.97K,0.83%
2020-08-14,6139,6070,6200,6070,413.14K,0.97%
2020-08-13,6080,6181,6200.2,6049.9,476.47K,-1.62%
2020-08-12,6179.9,6094,6236.1,6001.4,485.34K,1.58%
2020-08-11,6084,6040,6093.5,6038.1,324.66K,0.76%
2020-08-10,6038,6017,6096,5999.9,198.77K,0.43%
2020-08-07,6012,6110,6198,6000,158.69K,-1.43%
2020-08-06,6099,5930,6099,5851,549.47K,2.85%
2020-08-05,5930,5935,6000,5901,869.11K,0.42%
2020-08-04,5905,6000,6100,5905,837.08K,-1.25%
2020-08-03,5980,6200,6225,5980,328.33K,-3.24%
2020-07-31,6180,6015,6250,6015,303.07K,0.57%
2020-07-30,6145,6100,6250,5986.5,876.77K,0.34%
2020-07-29,6124,6200,6299.7,6005,587.82K,-1.23%
2020-07-28,6200,6276,6338.9,6200,831.80K,-1.07%
2020-07-27,6267,6205,6390,6205,1.14M,1.08%
2020-07-24,6200,6265,6400,6077,457.97K,-1.12%
2020-07-23,6270,6090,6299,6090,775.90K,2.96%
2020-07-22,6090,6138,6200,5920,626.10K,-0.13%
2020-07-21,6098,5950,6098,5855,1.21M,2.57%
2020-07-20,5945,5950,6089,5820.1,487.79K,-0.47%
2020-07-17,5973,6100,6110,5900.5,838.21K,-3.79%
2020-07-15,6208.4,6550,6560,6208.4,1.31M,-4.49%
2020-07-14,6500,6299,6500,6201,1.30M,3.06%
2020-07-13,6307,6040,6330,6040,1.82M,4.25%
2020-07-10,6050,5980,6070,5801,773.48K,1.34%
2020-07-09,5970,6000,6150,5900,1.26M,-4.66%
2020-07-08,6262,6311,6336.1,5998.9,859.63K,-0.78%
2020-07-07,6311,6280,6350,6160,958.92K,-0.22%
2020-07-06,6325,6102.1,6325,6102.1,820.82K,4.56%
2020-07-03,6049,6062,6150,5902,273.62K,-0.67%
2020-07-02,6090,5780,6090,5750,874.47K,6.81%
2020-07-01,5701.8,5570,5701.8,5534,512.14K,3.48%
2020-06-30,5510,5702,5780,5510,899.59K,-3.33%
2020-06-26,5700,5800,5800,5699.9,383.89K,-1.08%
2020-06-25,5762.5,5790,5820,5700,253.15K,-0.54%
2020-06-24,5794,5728,5800,5700,468.71K,-0.02%
2020-06-23,5795,5688.6,5795,5521.1,804.13K,1.67%
2020-06-22,5700,5750,5800,5510.1,1.20M,-0.02%
2020-06-19,5701,5700.2,5749,5556,1.36M,0.01%
2020-06-18,5700.2,5628,5730,5560,1.95M,1.25%
2020-06-17,5630,5661.1,5829.7,5527.1,634.71K,0.90%
2020-06-16,5580,5572,5690,5430.5,878.30K,1.31%
2020-06-15,5508,5499.9,5609.9,5362.2,1.01M,-3.37%
2020-06-12,5700,5500,5700,5399.9,330.86K,6.52%
2020-06-11,5351,5479,5498,5251,859.02K,-4.45%
2020-06-10,5600,5700,5800,5600,833.01K,-0.88%
2020-06-09,5650,5735,5780,5523,971.89K,-1.57%
2020-06-08,5740,5650,5940,5515,965.88K,2.41%
2020-06-05,5605,6000,6000,5450,1.57M,3.80%
2020-06-04,5400,5375,5400,5260,878.95K,0.56%
2020-06-03,5370,5340,5498.9,5340,1.13M,0.56%
2020-06-02,5340,5155.1,5340,5155.1,1.42M,3.89%
2020-06-01,5140,5000,5155,4910,1.38M,1.78%
2020-05-29,5050,4990,5050,4705.1,2.83M,3.06%
2020-05-28,4900,4980.1,5059.3,4850.1,453.60K,-1.61%
2020-05-27,4980,4919,5050,4832,627.50K,1.24%
2020-05-26,4919,4906.7,4995,4830,563.21K,0.35%
2020-05-25,4902,5000,5000,4800.1,844.61K,-0.57%
2020-05-22,4930,5060,5099.9,4865,577.60K,-2.57%
2020-05-20,5060,5055.1,5335,5055.1,480.90K,0.20%
2020-05-19,5050,4984,5050,4957,617.81K,1.45%
2020-05-18,4978,4910,5020.2,4899.9,1.57M,4.36%
2020-05-15,4770,4960,5055,4770,1.62M,-2.69%
2020-05-14,4902,4870,5079.9,4810,1.13M,0.66%
2020-05-13,4870,5100,5194,4800,976.35K,-3.56%
2020-05-12,5050,5270,5270,5050,1.40M,-0.98%
2020-05-11,5100,5100,5230,5011.3,1.61M,0.69%
2020-05-08,5064.88,5511.88,5561.43,5064.88,793.59K,-6.42%
2020-05-07,5412.47,5301.24,5660.74,5301.24,1.14M,2.64%
2020-05-06,5273.43,5144.33,5362.71,5124.46,644.73K,3.71%
2020-05-05,5084.74,5064.88,5212.85,5064.88,953.44K,2.40%
2020-05-04,4965.56,5127.44,5164.09,4965.56,568.68K,-4.18%
2020-04-30,5182.06,5253.57,5303.22,5164.19,1.16M,-2.47%
2020-04-29,5313.25,5114.63,5313.25,5114.63,1.01M,4.90%
2020-04-28,5064.98,5144.33,5231.72,5045.01,1.60M,-0.40%
2020-04-27,5085.53,5075.8,5103.11,4995.56,970.73K,1.93%
2020-04-24,4989.4,5114.53,5114.53,4955.63,969.65K,-2.43%
2020-04-23,5113.54,5005.29,5113.54,4958.12,769.54K,4.65%
2020-04-22,4886.12,4915.91,4985.43,4826.63,1.50M,1.40%
2020-04-21,4818.58,4934.78,4934.78,4777.87,1.54M,-2.37%
2020-04-20,4935.77,5085.73,5085.73,4916.11,603.17K,-2.95%
2020-04-17,5085.73,5214.84,5362.81,5085.73,570.79K,0.41%
2020-04-16,5064.88,5264.49,5265.58,5015.22,1.43M,-3.41%
2020-04-15,5243.64,5349.5,5349.5,5174.12,1.17M,-2.22%
2020-04-14,5362.81,5313.15,5422.4,5263.5,1.40M,1.91%
2020-04-13,5262.51,5362.81,5362.81,5066.96,722.79K,2.09%
2020-04-09,5154.75,5142.34,5293.29,5114.63,1.77M,2.66%
2020-04-08,5021.18,5116.12,5243.64,5021.18,1.12M,-1.06%
2020-04-07,5074.81,5551.5,5561.43,4998.54,1.27M,-5.89%
2020-04-06,5392.6,5486.95,5759.06,5392.6,1.86M,-0.17%
2020-04-03,5401.54,5263.5,5501.85,5165.18,1.45M,2.62%
2020-04-02,5263.4,4866.25,5263.5,4866.25,1.30M,9.50%
